source_frame,source_time_s,angle_000_cost,angle_015_cost,angle_030_cost,angle_045_cost,angle_060_cost,angle_075_cost,angle_090_cost,angle_105_cost,angle_120_cost,angle_135_cost,angle_150_cost,angle_165_cost,angle_180_cost,angle_195_cost,angle_210_cost,angle_225_cost,angle_240_cost,angle_255_cost,angle_270_cost,angle_285_cost,angle_300_cost,angle_315_cost,angle_330_cost,angle_345_cost
53,1.766667,0.28060470,0.22558226,0.23645266,0.22247381,0.21281575,0.24212395,0.26316158,0.24992923,0.25705467,0.22653860,0.28828753,0.28845490,0.32064079,0.37717384,0.36680821,0.22242816,0.38972825,0.39851049,0.39698310,0.40691447,0.39941132,0.23500963,0.36880681,0.39640543
54,1.800000,0.28676361,0.22211556,0.23186692,0.22361098,0.20872835,0.23223780,0.26259477,0.24936485,0.25587159,0.22436160,0.28765019,0.28570891,0.32305635,0.37648479,0.36915768,0.22894746,0.38764684,0.39449825,0.39568270,0.40381835,0.39355038,0.23557648,0.36942107,0.39394901
55,1.833333,0.28212378,0.22651313,0.23269887,0.22472227,0.21992515,0.23426810,0.26162182,0.25292424,0.25770479,0.21914851,0.29083367,0.28395024,0.32398595,0.37605605,0.36969600,0.22956956,0.38654897,0.39655464,0.39759800,0.40464477,0.39383585,0.23041602,0.36139831,0.39205926
56,1.866667,0.28440144,0.22662434,0.23519315,0.22237248,0.21621140,0.23961993,0.26298216,0.25527115,0.25238745,0.22584076,0.29192217,0.29013211,0.32595942,0.37504898,0.36071434,0.22627729,0.38635260,0.39898619,0.39628160,0.40473206,0.39638318,0.23072782,0.36525878,0.39097428
57,1.900000,0.28843443,0.22482019,0.23619465,0.22492597,0.21932963,0.23248475,0.26395399,0.24926761,0.25232701,0.22721478,0.29514217,0.28877034,0.32389157,0.37651571,0.36729609,0.22921786,0.38694088,0.39449847,0.39139030,0.40039490,0.39806525,0.23258290,0.36686608,0.39233436
58,1.933333,0.28590493,0.22505328,0.23133459,0.22757808,0.21676510,0.23154389,0.26272863,0.25439622,0.25248291,0.23129764,0.29571590,0.28648786,0.32143738,0.37789970,0.37222677,0.23018076,0.38437114,0.39327186,0.39233183,0.40327437,0.39964176,0.22891716,0.36697872,0.39583740
59,1.966667,0.29745084,0.24206464,0.25479415,0.23555845,0.22754198,0.23883642,0.25377863,0.24807253,0.24045511,0.22950114,0.29297984,0.27755387,0.32385074,0.36709555,0.35664488,0.21699683,0.37660623,0.38870837,0.39074248,0.39647989,0.38577839,0.22429515,0.36995164,0.38338401
60,2.000000,0.29125008,0.23660050,0.24777060,0.23711294,0.22761091,0.24354333,0.25308500,0.24459691,0.24675716,0.22969871,0.29465358,0.27735033,0.32192760,0.36736270,0.35875785,0.21156426,0.37693495,0.38819094,0.38657902,0.39168022,0.37993643,0.21691574,0.36713003,0.38281046
61,2.033333,0.29873512,0.23691821,0.24749656,0.23288912,0.22925251,0.23913747,0.25651326,0.24142964,0.24258866,0.23187335,0.28658377,0.28097621,0.32083350,0.36879964,0.35515408,0.21580788,0.37474442,0.38089308,0.38440725,0.39455925,0.38937963,0.22447283,0.36575959,0.37910232
62,2.066667,0.31100952,0.24882043,0.26323469,0.24853803,0.23524577,0.25323167,0.26494686,0.23129530,0.24117881,0.24211399,0.30001029,0.28005091,0.33287335,0.36586066,0.35654686,0.21786842,0.37478435,0.37282720,0.37092492,0.38849303,0.37685237,0.23456292,0.37591759,0.38693280
63,2.100000,0.31209345,0.24777173,0.26434706,0.24748255,0.23857356,0.25520264,0.26415583,0.23740780,0.24301887,0.24201389,0.29980675,0.28293262,0.33409670,0.36771746,0.35776595,0.21458966,0.37478889,0.37765962,0.37341736,0.38917316,0.37691883,0.23251393,0.37516411,0.38839930
64,2.133333,0.30858921,0.24891138,0.25624114,0.25506022,0.24090646,0.25833520,0.26200528,0.23388462,0.24419965,0.24391542,0.29778064,0.27983702,0.33430838,0.36802677,0.35891148,0.21379851,0.37099562,0.37797309,0.37415724,0.38432577,0.37781612,0.23398463,0.36972403,0.39068574
65,2.166667,0.31281496,0.24721955,0.25886094,0.25269838,0.24363747,0.26068688,0.26681039,0.23356213,0.24468776,0.24574909,0.30117362,0.28385324,0.33264811,0.36931640,0.36138672,0.21946112,0.37063622,0.37392004,0.37402411,0.38920827,0.37788645,0.23195199,0.37449413,0.39078060
66,2.200000,0.31522810,0.24642929,0.25659867,0.25724260,0.24206719,0.24942277,0.25498602,0.23821966,0.23882076,0.23775004,0.29480582,0.27119099,0.32038482,0.36102956,0.35098961,0.20876492,0.36466405,0.37770346,0.37518938,0.38449066,0.37907263,0.22716314,0.36226822,0.38333512
67,2.233333,0.31356568,0.25115992,0.25921427,0.25436174,0.24555900,0.24744146,0.25830748,0.23306515,0.24768590,0.24267638,0.28959716,0.27268294,0.32094644,0.36927502,0.35005235,0.21572593,0.37187816,0.37459451,0.37210447,0.38163512,0.37706596,0.22945879,0.36680180,0.37993611
